№,BOOK ID,AUTHOR(S),BOOK NAME,PUBLISHER,YEAR,ISBN,LANGUAGE(S),GENRE(S),CONDITION (0-5),STATUS,REC CREATION DATE,REC UPDATE DATE,STORAGE CELL,QR LINK,IMAGE LINK
92,TL000000092,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000092.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000092.jpg
93,TL000000093,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000093.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000093.jpg
94,TL000000094,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000094.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000094.jpg
95,TL000000095,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000095.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000095.jpg
96,TL000000096,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000096.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000096.jpg
97,TL000000097,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000097.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000097.jpg
98,TL000000098,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000098.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000098.jpg
99,TL000000099,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000099.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000099.jpg
100,TL000000100,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000100.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000100.jpg
101,TL000000101,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000101.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000101.jpg
102,TL000000102,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000102.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000102.jpg
103,TL000000103,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000103.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000103.jpg
104,TL000000104,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000104.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000104.jpg
105,TL000000105,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000105.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000105.jpg
106,TL000000106,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000106.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000106.jpg
107,TL000000107,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000107.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000107.jpg
108,TL000000108,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000108.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000108.jpg
109,TL000000109,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000109.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000109.jpg
110,TL000000110,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000110.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000110.jpg
111,TL000000111,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000111.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000111.jpg
112,TL000000112,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000112.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000112.jpg
113,TL000000113,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000113.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000113.jpg
114,TL000000114,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000114.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000114.jpg
115,TL000000115,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000115.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000115.jpg
116,TL000000116,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000116.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000116.jpg
117,TL000000117,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000117.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000117.jpg
118,TL000000118,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000118.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000118.jpg
119,TL000000119,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000119.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000119.jpg
120,TL000000120,Макс Дворжак ,История итальяского искусства в эпоху Возрождения,Искусство,1978,,рус,Нон фикшн; Искусство,4,Available,14.06.2026,14.06.2026,KS31,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000120.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000120.jpg
121,TL000000121,,Искусство оформления книг,Художник РСФСР,1966,,рус,Нон фикшн; Искусство,4,Available,14.06.2026,14.06.2026,KS31,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000121.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000121.jpg
122,TL000000122,М.В.Зубова,Графика Матисса,Искусство,1977,,рус,Нон фикшн; Искусство,4,Available,14.06.2026,14.06.2026,KS31,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000122.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000122.jpg
123,TL000000123,Л.Вентури,От Мане До Лотрека,Издательство Иностранной Литературы,1958,,рус,Нон фикшн; Искусство,4,Available,14.06.2026,14.06.2026,KS31,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000123.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000123.jpg
124,TL000000124,Роже Пассерон ,Домье свидетель своей эпохи, Изоброзительное Искусство,1984,,рус,Журналы и Каталоги; Искусство,5,Available,14.06.2026,14.06.2026,KS31,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000124.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000124.jpg
125,TL000000125,Виктория Лебедева,Мои Современники,Галарт,2008,,рус,Журналы и Каталоги; Искусство,5,Available,14.06.2026,14.06.2026,KS31,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000125.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000125.jpg
126,TL000000126,Джон Ревалд ,Постиспрессионизм,Искусство,1962,,рус,Журналы и Каталоги; Искусство,4,Available,14.06.2026,14.06.2026,KS31,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000126.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000126.jpg
127,TL000000127,Е.И.Кириченко,Русская архитектура 1830-1910-х годов,Искусство,1978,,рус,Журналы и Каталоги; Архитектура,4,Available,14.06.2026,14.06.2026,KS31,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000127.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000127.jpg
128,TL000000128,Werner Schmidt,Russische Graphik des XIX. und XX/abrbunderts,VEB Seemann Leipzig,1967,,немец,Журналы и Каталоги; Искусство,5,Available,14.06.2026,14.06.2026,KS31,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000128.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000128.jpg
129,TL000000129,"Г.Г. Поспелов, Илюхина",Михаил Ларинов,Ра,2005,,рус,Журналы и Каталоги; Искусство,4,Available,14.06.2026,14.06.2026,KS31,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000129.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000129.jpg
130,TL000000130,Макс Дворжак ,История итальяского искусства в эпоху Возрождения,Искусство,1978,,рус,Журналы и Каталоги; Искусство,5,Available,14.06.2026,14.06.2026,KS31,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000130.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000130.jpg
131,TL000000131,Мигель Анхель Астуриас,Легенда Гватемалы,Художественная литература ,1972,,рус,Сборник мифов ,4,Available,14.06.2026,14.06.2026,KS31,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000131.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000131.jpg
132,TL000000132,Кэрол Бэланже Графтон, Анималистика Образы и фантазии,Азбука-Аттикус,2010,,рус,Журналы и Каталоги; Искусство,5,Available,14.06.2026,14.06.2026,KS31,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000132.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000132.jpg
133,TL000000133,Кэрол Бэланже Графтон,Стиль Ар-Нуво линии и силуэты ,Азбука-Аттикус,2010,,рус,Журналы и Каталоги; Искусство,5,Available,14.06.2026,14.06.2026,KS31,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000133.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000133.jpg
134,TL000000134,В.Б. Мириманов,Искусство тропической Африки,Искусство,1986,,рус,Нон фикшн; Искусство,4,Available,14.06.2026,14.06.2026,KS31,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000134.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000134.jpg
135,TL000000135,Луис Дуке Гомес,Золото Колумбии ,Искусство,1982,,рус,Нон фикшн; Искусство,4,Available,14.06.2026,14.06.2026,KS31,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000135.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000135.jpg
136,TL000000136,,История Востока том 2,Восточная Литература ,1999,,рус,Нон фикшн; История,5,Available,14.06.2026,14.06.2026,KS31,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000136.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000136.jpg
137,TL000000137,О.А.Юшкова,Станция без остоновки ,Галарт ,2008,,рус,Журналы и Каталоги; Искусство,4,Available,14.06.2026,14.06.2026,KS31,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000137.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000137.jpg
138,TL000000138,К.М.Муратова ,Мастера французкой готики XII-XIII веков ,Искусство,1988,,рус,Нон фикшн; Искусство,5,Available,14.06.2026,14.06.2026,KS31,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000138.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000138.jpg
139,TL000000139,Vladislav Zubok,The last Russian Intelligentsia,The Belkan Press of Harward University Press,2009,,англ,Нон фикшн; История,4,Available,14.06.2026,14.06.2026,KS31,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000139.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000139.jpg
140,TL000000140,Katerina Clark,Moscow the fourth rome, Harward University Press,2011,,fyuk,Нон фикшн; История,4,Available,14.06.2026,14.06.2026,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000140.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000140.jpg
141,TL000000141,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000141.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000141.jpg
142,TL000000142,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000142.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000142.jpg
143,TL000000143,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000143.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000143.jpg
144,TL000000144,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000144.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000144.jpg
145,TL000000145,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000145.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000145.jpg
146,TL000000146,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000146.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000146.jpg
147,TL000000147,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000147.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000147.jpg
148,TL000000148,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000148.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000148.jpg
149,TL000000149,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000149.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000149.jpg
150,TL000000150,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000150.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000150.jpg
151,TL000000151,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000151.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000151.jpg
152,TL000000152,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000152.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000152.jpg
153,TL000000153,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000153.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000153.jpg
154,TL000000154,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000154.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000154.jpg
155,TL000000155,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000155.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000155.jpg
156,TL000000156,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000156.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000156.jpg
157,TL000000157,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000157.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000157.jpg
158,TL000000158,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000158.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000158.jpg
159,TL000000159,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000159.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000159.jpg
160,TL000000160,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000160.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000160.jpg
161,TL000000161,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000161.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000161.jpg
162,TL000000162,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000162.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000162.jpg
163,TL000000163,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000163.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000163.jpg
164,TL000000164,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000164.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000164.jpg
165,TL000000165,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000165.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000165.jpg
166,TL000000166,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000166.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000166.jpg
167,TL000000167,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000167.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000167.jpg
168,TL000000168,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000168.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000168.jpg
169,TL000000169,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000169.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000169.jpg
170,TL000000170,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000170.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000170.jpg
171,TL000000171,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000171.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000171.jpg
172,TL000000172,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000172.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000172.jpg
173,TL000000173,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000173.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000173.jpg
174,TL000000174,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000174.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000174.jpg
175,TL000000175,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000175.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000175.jpg
176,TL000000176,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000176.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000176.jpg
177,TL000000177,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000177.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000177.jpg
178,TL000000178,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000178.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000178.jpg
179,TL000000179,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000179.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000179.jpg
180,TL000000180,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000180.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000180.jpg
181,TL000000181,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000181.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000181.jpg
182,TL000000182,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000182.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000182.jpg
183,TL000000183,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000183.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000183.jpg
184,TL000000184,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000184.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000184.jpg
185,TL000000185,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000185.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000185.jpg
186,TL000000186,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000186.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000186.jpg
187,TL000000187,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000187.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000187.jpg
188,TL000000188,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000188.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000188.jpg
189,TL000000189,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000189.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000189.jpg
190,TL000000190,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000190.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000190.jpg
191,TL000000191,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000191.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000191.jpg
192,TL000000192,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000192.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000192.jpg
193,TL000000193,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000193.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000193.jpg
194,TL000000194,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000194.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000194.jpg
195,TL000000195,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000195.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000195.jpg
196,TL000000196,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000196.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000196.jpg
197,TL000000197,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000197.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000197.jpg
198,TL000000198,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000198.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000198.jpg
199,TL000000199,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000199.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000199.jpg
200,TL000000200,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000200.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000200.jpg
201,TL000000201,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000201.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000201.jpg
202,TL000000202,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000202.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000202.jpg
203,TL000000203,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000203.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000203.jpg
204,TL000000204,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000204.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000204.jpg
205,TL000000205,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000205.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000205.jpg
206,TL000000206,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000206.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000206.jpg
207,TL000000207,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000207.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000207.jpg
208,TL000000208,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000208.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000208.jpg
209,TL000000209,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000209.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000209.jpg
210,TL000000210,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000210.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000210.jpg
211,TL000000211,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000211.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000211.jpg
212,TL000000212,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000212.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000212.jpg
213,TL000000213,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000213.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000213.jpg
214,TL000000214,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000214.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000214.jpg
215,TL000000215,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000215.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000215.jpg
216,TL000000216,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000216.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000216.jpg
217,TL000000217,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000217.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000217.jpg
218,TL000000218,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000218.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000218.jpg
219,TL000000219,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000219.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000219.jpg
220,TL000000220,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000220.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000220.jpg
221,TL000000221,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000221.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000221.jpg
222,TL000000222,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000222.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000222.jpg
223,TL000000223,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000223.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000223.jpg
224,TL000000224,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000224.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000224.jpg
225,TL000000225,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000225.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000225.jpg
226,TL000000226,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000226.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000226.jpg
